Time,BUS10Va,BUS10Vb,BUS10Vc,L4Ia_FLT,L4Ib_FLT,L4Ic_FLT
8.95e-05,-5667.253906,-17166.19336,16141.69238,-0.005089452,-0.017422989,0.016340129
0.000139545,-5453.505859,-17331.6582,15962.05664,-0.004855169,-0.017591558,0.016173139
0.000189545,-5237.061035,-17496.56836,15777.91699,-0.004620319,-0.017756969,0.016000856
0.000239545,-5018.400879,-17661.23438,15589.7832,-0.004385926,-0.017919796,0.015822724
0.000289545,-4798.054688,-17825.78711,15398.10645,-0.004152805,-0.018080492,0.015638368
0.000339545,-4576.558594,-17990.16602,15203.27148,-0.003921505,-0.018239349,0.015447641
0.000389545,-4354.416504,-18154.13086,15005.59473,-0.003692268,-0.018396474,0.015250651
0.000439545,-4132.064941,-18317.26953,14805.32715,-0.003465024,-0.018551772,0.015047761
0.000489545,-3909.845459,-18479.0332,14602.65234,-0.003239406,-0.018704964,0.014839568
0.000539545,-3687.987305,-18638.75586,14397.70313,-0.0030148,-0.018855602,0.014626863
0.000589545,-3466.599121,-18795.70898,14190.5625,-0.002790412,-0.01900311,0.014410568
0.000639545,-3245.671387,-18949.125,13981.27637,-0.002565346,-0.019146839,0.014191664
0.000689545,-3025.09082,-19098.25,13769.86523,-0.002338702,-0.019286115,0.013971112
0.000739545,-2804.658691,-19242.38281,13556.33301,-0.002109658,-0.019420289,0.01374978
0.000789545,-2584.120361,-19380.89453,13340.6709,-0.001877555,-0.019548802,0.013528375
0.000839545,-2363.193115,-19513.26953,13122.87402,-0.001641961,-0.019671215,0.013307384
0.000889545,-2141.597656,-19639.11523,12902.94141,-0.001402715,-0.019787246,0.013087045
0.000939545,-1919.08606,-19758.16797,12680.87988,-0.001159945,-0.019896779,0.012867329
0.000989545,-1695.4646,-19870.29688,12456.71191,-0.000914062,-0.019999869,0.012647951
0.001039545,-1470.611206,-19975.49414,12230.47363,-0.000665723,-0.020096717,0.012428403
0.001089545,-1244.483398,-20073.85156,12002.21582,-0.000415779,-0.02018765,0.012208
0.001139545,-1017.119812,-20165.54883,11772.00195,-0.000165201,-0.020273073,0.011985949
0.001189545,-788.6331177,-20250.81641,11539.90625,8.5e-05,-0.020353425,0.011761417
0.001239545,-559.1963501,-20329.91602,11306.01074,0.000333863,-0.020429136,0.011533607
0.001289545,-329.0245667,-20403.11914,11070.39844,0.00058055,-0.020500572,0.01130183
0.001339545,-98.35350037,-20470.67383,10833.15039,0.00082442,-0.020568004,0.011065561
0.001389545,132.5821381,-20532.79492,10594.33789,0.001065075,-0.020631578,0.010824488
0.001439545,363.5691223,-20589.6543,10354.02051,0.001302389,-0.020691298,0.010578527
0.001489545,594.432251,-20641.36719,10112.24023,0.001536513,-0.02074703,0.010327839
0.001539545,825.0462036,-20688.0,9869.017578,0.001767852,-0.020798514,0.010072807
0.001589545,1055.340942,-20729.57227,9624.34668,0.001997028,-0.020845382,0.009814
0.001639545,1285.301392,-20766.06641,9378.201172,0.002224812,-0.020887196,0.009552125
0.001689545,1514.960205,-20797.44531,9130.527344,0.002452059,-0.020923497,0.00928797
0.001739545,1744.386475,-20823.6582,8881.253906,0.002679625,-0.02095383,0.009022332
0.001789545,1973.669312,-20844.66211,8630.291992,0.002908293,-0.020977803,0.008755957
0.001839545,2202.900879,-20860.42773,8377.541992,0.0031387,-0.020995107,0.00848948
0.001889545,2432.157227,-20870.95508,8122.903809,0.003371285,-0.021005549,0.008223379
0.001939545,2661.482666,-20876.26758,7866.280273,0.003606248,-0.021009071,0.007957941
