Time,BUS10Va,BUS10Vb,BUS10Vc,BUS14Va,BUS14Vb,BUS14Vc,BUS6Va,BUS6Vb,BUS6Vc,L2Ia_FLT,L2Ib_FLT,L2Ic_FLT,L6Ia_FLT,L6Ib_FLT,L6Ic_FLT,L4Ia_FLT,L4Ib_FLT,L4Ic_FLT,UCM3PhXabc_0,UCM3PhXabc_1,UCM3PhXabc_2,UCM4PhXabc_0,UCM4PhXabc_1,UCM4PhXabc_2,UCM3Xabc_0,UCM3Xabc_1,UCM3Xabc_2,UCM4Xabc_0,UCM4Xabc_1,UCM4Xabc_2
89.544807863E-6,-5.6673212891E3,-17.1661875E3,16.141707031E3,-335.61126709E0,-18.266019531E3,18.300210938E3,-4.7428657227E3,-17.577121094E3,16.459146484E3,-1.6134390607E-3,-17.21243374E-3,18.121158704E-3,-106.09487915E0,-15.337445773E-3,17.799602821E-3,-5.0895749591E-3,-17.422990873E-3,16.340136528E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-4.7428657227E3,-17.577121094E3,16.459146484E3,-1.9368735352E3,-18.001130859E3,17.559025391E3
139.54480786E-6,-5.4535737305E3,-17.331650391E3,15.962071289E3,-20.612798691E0,-18.442917969E3,18.117017578E3,-4.4962626953E3,-17.747554688E3,16.299740234E3,-1.3102620142E-3,-17.378324643E-3,17.971027642E-3,-103.22206116E0,-15.55828657E-3,17.553316429E-3,-4.8552914523E-3,-17.591560259E-3,16.173144802E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-4.4962626953E3,-17.747554688E3,16.299740234E3,-1.6499833984E3,-18.191677734E3,17.384359375E3
189.54480786E-6,-5.2371289062E3,-17.496560547E3,15.777931641E3,295.01757812E0,-18.613697266E3,17.930359375E3,-4.250371582E3,-17.913265625E3,16.134570312E3,-1.0074020829E-3,-17.536494881E-3,17.816051841E-3,-100.31645203E0,-15.782769769E-3,17.300402746E-3,-4.6204417013E-3,-17.756970599E-3,16.000863165E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-4.250371582E3,-17.913265625E3,16.134570312E3,-1.3582056885E3,-18.369097656E3,17.210273438E3
239.54480786E-6,-5.01846875E3,-17.661226562E3,15.589797852E3,611.17071533E0,-18.777697266E3,17.740117188E3,-4.0065397949E3,-18.074988281E3,15.962438477E3,-705.31613892E-6,-17.686458305E-3,17.655562609E-3,-97.379348755E0,-16.011392698E-3,17.041744664E-3,-4.3860482983E-3,-17.91979745E-3,15.822730958E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-4.0065397949E3,-18.074988281E3,15.962438477E3,-1.0620211182E3,-18.532816406E3,17.036041016E3
289.54480786E-6,-4.7981225586E3,-17.825779297E3,15.398120117E3,927.73724365E0,-18.934404297E3,17.546148438E3,-3.7657565918E3,-18.233369141E3,15.782473633E3,-404.32196693E-6,-17.828006297E-3,17.489058897E-3,-94.412956238E0,-16.244249418E-3,16.778206453E-3,-4.152927082E-3,-18.080493435E-3,15.638373792E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-3.7657565918E3,-18.233369141E3,15.782473633E3,-762.00219727E0,-18.682777344E3,16.860851562E3
339.54480786E-6,-4.5766264648E3,-17.990158203E3,15.203285156E3,1.2446120605E3,-19.083486328E3,17.348314453E3,-3.528576416E3,-18.388914062E3,15.594209961E3,-104.58829638E-6,-17.961187288E-3,17.316220328E-3,-91.420310974E0,-16.48102887E-3,16.510590911E-3,-3.921627067E-3,-18.239350989E-3,15.447647311E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-3.528576416E3,-18.388914062E3,15.594209961E3,-458.78048706E0,-18.819423828E3,16.683873047E3
389.54480786E-6,-4.354484375E3,-18.154123047E3,15.005609375E3,1.5616981201E3,-19.224796875E3,17.146498047E3,-3.2950856934E3,-18.541935547E3,15.397629883E3,193.87583598E-6,-18.086308613E-3,17.136942595E-3,-88.405044556E0,-16.721043736E-3,16.239620745E-3,-3.69239063E-3,-18.396474421E-3,15.250657685E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-3.2950856934E3,-18.541935547E3,15.397629883E3,-153.01528931E0,-18.943654297E3,16.504296875E3
439.54480786E-6,-4.1321328125E3,-18.317263672E3,14.80534082E3,1.8789075928E3,-19.358380859E3,16.940609375E3,-3.0649077148E3,-18.692529297E3,15.193164062E3,491.19081814E-6,-18.203893676E-3,16.951331869E-3,-85.37121582E0,-16.963277012E-3,15.965910628E-3,-3.4651460592E-3,-18.551774323E-3,15.0477672E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-3.0649077148E3,-18.692529297E3,15.193164062E3,154.63343811E0,-19.056763672E3,16.321398438E3
489.54480786E-6,-3.9099133301E3,-18.479025391E3,14.602666992E3,2.1961606445E3,-19.484460938E3,16.730597656E3,-2.8372526855E3,-18.840578125E3,14.981660156E3,787.60448378E-6,-18.314642832E-3,16.759689897E-3,-82.3229599E0,-17.206450924E-3,15.689965338E-3,-3.2395280432E-3,-18.704965711E-3,14.839574695E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-2.8372526855E3,-18.840578125E3,14.981660156E3,463.52746582E0,-19.16034375E3,16.1345625E3
539.54480786E-6,-3.6880551758E3,-18.638748047E3,14.397717773E3,2.5133825684E3,-19.603417969E3,16.516457031E3,-2.6110004883E3,-18.985763672E3,14.764301758E3,1.0834352579E-3,-18.419379368E-3,16.562495381E-3,-79.264266968E0,-17.449105158E-3,15.412168577E-3,-3.0149226077E-3,-18.855603412E-3,14.626870863E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-2.6110004883E3,-18.985763672E3,14.764301758E3,773.06665039E0,-19.256183594E3,15.943308594E3
589.54480786E-6,-3.466666748E3,-18.795701172E3,14.190576172E3,2.8305009766E3,-19.715751953E3,16.298228516E3,-2.3848129883E3,-19.127605469E3,14.542513672E3,1.379056368E-3,-18.518995494E-3,16.360336915E-3,-76.198677063E0,-17.689682543E-3,15.132791363E-3,-2.7905339375E-3,-19.003111869E-3,14.410575852E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-2.3848129883E3,-19.127605469E3,14.542513672E3,1.0826990967E3,-19.346158203E3,15.747295898E3
639.54480786E-6,-3.2457392578E3,-18.949117188E3,13.981291016E3,3.1474401855E3,-19.822050781E3,16.075990234E3,-2.1572661133E3,-19.265521484E3,14.317836914E3,1.6748334747E-3,-18.614389002E-3,16.15389064E-3,-73.129013062E0,-17.926620319E-3,14.851996675E-3,-2.5654686615E-3,-19.146841019E-3,14.191670343E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-2.1572661133E3,-19.265521484E3,14.317836914E3,1.3919256592E3,-19.432113281E3,15.546324219E3
689.54480786E-6,-3.0251584473E3,-19.098244141E3,13.769879883E3,3.4641164551E3,-19.922945312E3,15.849851562E3,-1.926984375E3,-19.398882812E3,14.091800781E3,1.9710997585E-3,-18.706399947E-3,15.943836421E-3,-70.057235718E0,-18.158437684E-3,14.569860883E-3,-2.338824328E-3,-19.286114722E-3,13.971118256E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-1.926984375E3,-19.398882812E3,14.091800781E3,1.7002999268E3,-19.515765625E3,15.340311523E3
739.54480786E-6,-2.8047265625E3,-19.242375E3,13.55634668E3,3.7804321289E3,-20.019066406E3,15.619945312E3,-1.6927730713E3,-19.527082031E3,13.865791016E3,2.2681085393E-3,-18.795777112E-3,15.730831772E-3,-66.984291077E0,-18.383799121E-3,14.286385849E-3,-2.1097802091E-3,-19.420288503E-3,13.749787584E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-1.6927730713E3,-19.527082031E3,13.865791016E3,2.0074241943E3,-19.598603516E3,15.12927832E3
789.54480786E-6,-2.5841882324E3,-19.380886719E3,13.340685547E3,4.0962714844E3,-20.111E3,15.386412109E3,-1.453730957E3,-19.64959375E3,13.64094043E3,2.5660067331E-3,-18.883114681E-3,15.515432693E-3,-63.9100914E0,-18.601598218E-3,14.001519419E-3,-1.8776770448E-3,-19.548801705E-3,13.528381474E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-1.453730957E3,-19.64959375E3,13.64094043E3,2.3129440918E3,-19.681824219E3,14.9133125E3
839.54480786E-6,-2.3632607422E3,-19.513261719E3,13.122888672E3,4.4114975586E3,-20.199261719E3,15.149387695E3,-1.2093366699E3,-19.766027344E3,13.41803418E3,2.8648185544E-3,-18.968844786E-3,15.298075974E-3,-60.833560944E0,-18.810983747E-3,13.715178706E-3,-1.6420829343E-3,-19.671216607E-3,13.307390735E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-1.2093366699E3,-19.766027344E3,13.41803418E3,2.6165410156E3,-19.766269531E3,14.692543945E3
889.54480786E-6,-2.1416655273E3,-19.639107422E3,12.902956055E3,4.7259516602E3,-20.284255859E3,14.908994141E3,-959.50012207E0,-19.876167969E3,13.197452148E3,3.1644250266E-3,-19.053196535E-3,15.07904008E-3,-57.752738953E0,-19.011396915E-3,13.427262194E-3,-1.4028369915E-3,-19.787246361E-3,13.087051921E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-959.50012207E0,-19.876167969E3,13.197452148E3,2.9179282227E3,-19.852414062E3,14.467116211E3
939.54480786E-6,-1.9191538086E3,-19.758160156E3,12.680894531E3,5.0394511719E3,-20.366265625E3,14.665328125E3,-704.57574463E0,-19.979988281E3,12.979143555E3,3.464582609E-3,-19.136207178E-3,14.858431183E-3,-54.665008545E0,-19.202575088E-3,13.137671165E-3,-1.1600675061E-3,-19.896781072E-3,12.86733523E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-704.57574463E0,-19.979988281E3,12.979143555E3,3.2168452148E3,-19.940347656E3,14.237163086E3
989.54480786E-6,-1.6955323486E3,-19.870289062E3,12.456726562E3,5.3517944336E3,-20.445431641E3,14.418452148E3,-445.33538818E0,-20.077650391E3,12.762640625E3,3.7649173755E-3,-19.217723981E-3,14.636190608E-3,-51.567317963E0,-19.384540617E-3,12.846319005E-3,-914.18414377E-6,-19.999869168E-3,12.647957541E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-445.33538818E0,-20.077650391E3,12.762640625E3,3.5130588379E3,-20.029802734E3,14.002790039E3
1.0395448079E-3,-1.470678833E3,-19.975486328E3,12.230488281E3,5.6627631836E3,-20.521759766E3,14.168392578E3,-182.90541077E0,-20.169488281E3,12.547107422E3,4.0649687871E-3,-19.297422841E-3,14.412098564E-3,-48.456474304E0,-19.557569176E-3,12.553141452E-3,-665.84517481E-6,-20.096717402E-3,12.42840942E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,-182.90541077E0,-20.169488281E3,12.547107422E3,3.8063632812E3,-20.120193359E3,13.764068359E3
1.0895448079E-3,-1.2445510254E3,-20.073845703E3,12.002229492E3,5.9721313477E3,-20.595125E3,13.915143555E3,81.327583313E0,-20.255964844E3,12.331417969E3,4.3642022647E-3,-19.374843687E-3,14.185818844E-3,-45.329429626E0,-19.722150639E-3,12.258097529E-3,-415.9011587E-6,-20.187649876E-3,12.208006345E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,81.327583313E0,-20.255964844E3,12.331417969E3,4.0965869141E3,-20.210673828E3,13.52103418E3
1.1395448079E-3,-1.0171875E3,-20.165541016E3,11.772015625E3,6.2796699219E3,-20.665289062E3,13.658665039E3,345.83251953E0,-20.337621094E3,12.114264648E3,4.6620625071E-3,-19.449412823E-3,13.956914656E-3,-42.183540344E0,-19.878933206E-3,11.961174197E-3,-165.32358131E-6,-20.273072645E-3,11.98595576E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,345.83251953E0,-20.337621094E3,12.114264648E3,4.3836000977E3,-20.300199219E3,13.273694336E3
1.1895448079E-3,-788.70080566E0,-20.250808594E3,11.539920898E3,6.5851572266E3,-20.731925781E3,13.398891602E3,609.06152344E0,-20.415025391E3,11.894269531E3,4.9580004998E-3,-19.5205044E-3,13.724915683E-3,-39.016807556E0,-20.028660074E-3,11.662381701E-3,84.877989138E-6,-20.353427157E-3,11.7614232E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,609.06152344E0,-20.415025391E3,11.894269531E3,4.6673222656E3,-20.387613281E3,13.022041992E3
1.2395448079E-3,-559.26403809E0,-20.329910156E3,11.306025391E3,6.8883876953E3,-20.794638672E3,13.13574707E3,869.57781982E0,-20.488701172E3,11.670111328E3,5.2515198477E-3,-19.587459043E-3,13.489345089E-3,-35.82806778E0,-20.17211169E-3,11.361746117E-3,333.74057966E-6,-20.429138094E-3,11.533613317E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,869.57781982E0,-20.488701172E3,11.670111328E3,4.9477329102E3,-20.471712891E3,12.766074219E3
1.2895448079E-3,-329.09225464E0,-20.403111328E3,11.070413086E3,7.1891796875E3,-20.853001953E3,12.869149414E3,1.1261721191E3,-20.559078125E3,11.440634766E3,5.5422070436E-3,-19.649647176E-3,13.249780983E-3,-32.617069244E0,-20.310042426E-3,11.059306562E-3,580.42781893E-6,-20.500574261E-3,11.30183693E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,1.1261721191E3,-20.559078125E3,11.440634766E3,5.2248793945E3,-20.551328125E3,12.50581543E3
1.3395448079E-3,-98.421195984E0,-20.470666016E3,10.833164062E3,7.4873847656E3,-20.906589844E3,12.599027344E3,1.3779588623E3,-20.626435547E3,11.204953125E3,5.8297575451E-3,-19.706485793E-3,13.005880639E-3,-29.38451767E0,-20.443135872E-3,10.755104944E-3,824.29760369E-6,-20.568005741E-3,11.065567844E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,1.3779588623E3,-20.626435547E3,11.204953125E3,5.4988828125E3,-20.625380859E3,12.241330078E3
1.3895448079E-3,132.51445007E0,-20.532787109E3,10.594351562E3,7.7828916016E3,-20.954998047E3,12.325332031E3,1.6244425049E3,-20.690878906E3,10.962520508E3,6.1140009202E-3,-19.757488742E-3,12.757425196E-3,-26.132024765E0,-20.571950823E-3,10.449177586E-3,1.0649523465E-3,-20.63157782E-3,10.824494064E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,1.6244425049E3,-20.690878906E3,10.962520508E3,5.7699404297E3,-20.692945312E3,11.97275E3
1.4395448079E-3,363.50140381E0,-20.589646484E3,10.354035156E3,8.0756308594E3,-20.997867188E3,12.048046875E3,1.865550415E3,-20.752314453E3,10.713172852E3,6.3948975876E-3,-19.802276045E-3,12.504331768E-3,-22.861974716E0,-20.696902648E-3,10.141550563E-3,1.302266377E-3,-20.691297948E-3,10.578533635E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,1.865550415E3,-20.752314453E3,10.713172852E3,6.0383222656E3,-20.753283203E3,11.70027832E3
1.4895448079E-3,594.36456299E0,-20.641359375E3,10.112254883E3,8.3655771484E3,-21.034914062E3,11.767194336E3,2.101628418E3,-20.810458984E3,10.457139648E3,6.6725518554E-3,-19.840596244E-3,12.246660888E-3,-19.577348709E0,-20.818240941E-3,9.8322369158E-3,1.5363902785E-3,-20.747032017E-3,10.327845812E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,2.101628418E3,-20.810458984E3,10.457139648E3,6.3043652344E3,-20.805863281E3,11.424199219E3
1.5395448079E-3,824.97851562E0,-20.687992188E3,9.86903125E3,8.6527490234E3,-21.065927734E3,11.48284375E3,2.3334018555E3,-20.864853516E3,10.195020508E3,6.9471788593E-3,-19.872324541E-3,11.984621175E-3,-16.281490326E0,-20.936043933E-3,9.5212291926E-3,1.7677302239E-3,-20.798515528E-3,10.072813369E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,2.3334018555E3,-20.864853516E3,10.195020508E3,6.5684589844E3,-20.850375E3,11.14487207E3
1.5895448079E-3,1.0552733154E3,-20.729564453E3,9.6243613281E3,8.9372001953E3,-21.090789062E3,11.195110352E3,2.5619040527E3,-20.914896484E3,9.9277304688E3,7.219103165E-3,-19.897468388E-3,11.718539521E-3,-12.977856636E0,-21.050240844E-3,9.2085022479E-3,1.9969057757E-3,-20.845381543E-3,9.8140062764E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,2.5619040527E3,-20.914896484E3,9.9277304688E3,6.8310292969E3,-20.886714844E3,10.862728516E3
